"x","year","month","yearmon","region","homicide","homicide_us","offences_against_the_person","offences_against_the_person_us","sexual_offences","sexual_offences_us","burglary","burglary_us","robbery","robbery_us","theft_and_handling","theft_and_handling_us","fraud_and_forgery","fraud_and_forgery_us","criminal_damage","criminal_damage_us","drugs_offences","drugs_offences_us","public_order_offences","public_order_offences_us","all_other_offences__excluding_motoring_","all_other_offences__excluding_motoring__us","motoring_offences","motoring_offences_us","admin_finalised_us"
"Hampshire","2014","may","2014-05-01","South",0,0,351,120,19,11,50,6,8,4,395,43,10,1,115,26,146,11,138,23,79,20,214,56,26
"Hertfordshire","2014","may","2014-05-01","East",2,0,146,47,10,3,21,3,8,5,198,26,17,1,43,3,88,10,62,19,21,10,155,31,10
"Humberside","2014","may","2014-05-01","North",0,0,135,26,18,10,48,5,5,4,280,22,10,3,43,5,73,1,71,2,24,4,159,16,12
"Kent","2014","may","2014-05-01","South",14,1,178,43,28,7,52,5,13,0,287,31,25,5,51,9,88,11,56,5,117,20,171,22,37
"Lancashire","2014","may","2014-05-01","North",1,0,293,88,25,8,56,8,16,6,301,29,16,0,102,18,99,6,192,15,121,8,255,50,26
"Leicestershire","2014","may","2014-05-01","East",0,0,194,44,14,4,28,2,4,4,155,9,24,6,30,6,37,4,52,6,10,5,150,22,5
"Lincolnshire","2014","may","2014-05-01","East",0,0,83,25,7,4,25,0,0,0,120,9,3,0,22,2,17,2,47,13,23,2,106,28,9
"Merseyside","2014","may","2014-05-01","North",2,0,252,71,21,5,36,4,23,10,272,26,14,2,65,6,264,5,84,19,157,23,208,29,15
"Metropolitan and City","2014","may","2014-05-01","South",29,11,1126,499,127,62,212,67,179,35,1254,144,215,30,301,56,1134,59,669,159,453,88,1348,351,176
"Norfolk","2014","may","2014-05-01","East",0,0,133,38,15,2,18,3,8,0,122,11,6,2,38,3,66,2,84,13,54,7,98,15,9
"Northamptonshire","2014","may","2014-05-01","East",0,0,92,42,7,4,16,2,9,0,100,20,8,3,19,9,38,6,41,3,13,5,99,9,11
"Northumbria","2014","may","2014-05-01","North",0,0,253,126,15,15,69,5,11,2,504,85,27,6,100,35,132,27,119,35,193,48,226,57,16
"North Wales","2014","may","2014-05-01","North",0,0,93,13,15,6,18,5,3,0,140,8,7,1,35,1,39,2,43,7,83,2,300,16,4
"North Yorkshire","2014","may","2014-05-01","North",1,0,110,12,4,1,20,2,3,1,132,9,8,0,42,5,40,6,80,11,21,7,110,8,5
"Nottinghamshire","2014","may","2014-05-01","East",6,5,199,67,8,9,47,7,12,4,222,17,16,4,48,9,90,5,66,23,66,10,160,18,9
"South Wales","2014","may","2014-05-01","West",1,0,281,91,22,7,50,7,13,8,316,13,18,1,81,12,163,6,200,17,66,10,653,77,14
"South Yorkshire","2014","may","2014-05-01","North",0,0,199,52,6,4,33,4,6,4,351,27,8,3,77,4,94,2,125,9,39,5,188,18,11
"Staffordshire","2014","may","2014-05-01","West",1,0,150,60,9,4,32,4,6,7,182,22,9,4,46,10,65,4,92,25,43,7,134,35,7
"Suffolk","2014","may","2014-05-01","East",0,0,106,27,10,1,5,0,3,2,88,4,4,2,30,0,42,2,67,2,15,4,65,9,1
"Surrey","2014","may","2014-05-01","South",0,0,81,30,10,9,28,6,5,0,109,15,17,2,31,6,90,5,42,5,55,16,128,22,10
"Sussex","2014","may","2014-05-01","South",1,0,162,69,26,13,25,8,7,3,219,31,22,0,46,11,83,10,83,22,67,17,173,25,16
"Thames Valley","2014","may","2014-05-01","South",1,0,294,138,26,8,48,14,20,4,409,61,22,7,59,14,148,29,169,38,46,12,551,85,40
"Warwickshire","2014","may","2014-05-01","West",0,0,50,10,3,2,9,2,1,1,59,2,0,1,23,1,16,1,19,7,17,6,124,10,4
"West Mercia","2014","may","2014-05-01","West",1,0,172,38,19,3,37,9,4,8,194,11,10,8,37,6,61,6,73,11,26,5,187,31,7
"West Midlands","2014","may","2014-05-01","West",1,0,434,175,29,15,97,14,37,21,534,52,33,11,103,23,202,21,111,28,123,39,294,43,33
"West Yorkshire","2014","may","2014-05-01","North",1,0,370,91,39,12,80,11,17,10,434,42,19,1,83,28,112,9,144,30,61,4,271,41,18
"Wiltshire","2014","may","2014-05-01","West",0,0,98,21,5,3,9,3,5,6,93,13,9,2,18,4,37,2,25,5,19,8,98,5,8
"National","2014","jun","2014-06-01","All",61,18,8444,2927,778,311,1467,277,512,132,9938,947,708,110,2466,436,4563,311,4023,712,2743,547,8407,1361,664
"Avon and Somerset","2014","jun","2014-06-01","West",3,4,231,70,25,11,34,7,4,2,259,17,17,2,62,13,125,9,69,10,71,9,189,41,26
"Bedfordshire","2014","jun","2014-06-01","East",1,0,57,22,1,5,10,0,5,1,97,9,7,1,15,4,44,3,28,3,18,2,65,9,7
"Cambridgeshire","2014","jun","2014-06-01","East",0,0,111,27,5,1,11,1,8,0,108,4,18,1,19,2,38,0,55,2,13,3,92,8,7
"Cheshire","2014","jun","2014-06-01","North",1,0,183,50,15,1,35,7,6,1,223,9,9,1,40,5,82,9,89,5,57,4,171,14,5
"Cleveland","2014","jun","2014-06-01","North",3,0,84,28,19,4,39,5,4,2,245,28,9,0,41,5,57,1,99,35,21,10,174,10,1
"Cumbria","2014","jun","2014-06-01","North",1,0,90,12,6,0,14,0,3,1,100,8,5,0,38,4,46,2,32,3,82,5,85,7,9
"Derbyshire","2014","jun","2014-06-01","East",0,0,117,47,11,2,13,3,8,1,180,19,7,0,40,6,65,9,41,8,37,12,129,15,7
"Devon and Cornwall","2014","jun","2014-06-01","West",1,0,147,62,12,1,26,7,4,2,145,15,16,3,52,15,89,3,81,12,54,14,154,25,12
"Dorset","2014","jun","2014-06-01","West",0,0,98,15,11,3,14,1,2,0,128,5,6,0,30,4,24,1,51,6,23,2,88,8,10
"Durham","2014","jun","2014-06-01","North",0,0,84,24,14,3,17,3,3,0,153,14,1,1,35,5,29,2,62,8,22,5,80,7,1
"Dyfed Powys","2014","jun","2014-06-01","West",0,0,66,16,3,0,11,0,2,2,53,4,0,1,21,6,84,4,34,10,10,3,178,15,2
"Essex","2014","jun","2014-06-01","East",0,0,260,66,28,13,31,2,8,2,257,17,17,1,69,12,73,4,94,13,47,10,222,30,10
"Gloucestershire","2014","jun","2014-06-01","West",0,0,52,16,5,0,6,2,2,0,85,9,5,0,15,2,18,1,14,4,17,5,58,2,14
"GreaterManchester","2014","jun","2014-06-01","North",1,0,547,162,49,33,87,8,35,2,478,34,44,7,201,27,225,21,273,38,125,43,350,60,34
"Gwent","2014","jun","2014-06-01","West",3,1,62,19,5,2,17,8,0,1,94,5,2,1,27,7,52,1,55,6,17,8,66,6,4
"Hampshire","2014","jun","2014-06-01","South",0,0,305,108,23,17,32,4,6,1,295,24,16,3,74,20,102,15,110,14,63,13,195,38,15
"Hertfordshire","2014","jun","2014-06-01","East",0,0,163,42,16,8,18,6,10,3,190,23,16,7,33,4,77,4,53,13,15,2,143,33,8
"Humberside","2014","jun","2014-06-01","North",2,0,200,20,18,9,31,1,6,1,192,12,11,0,52,5,53,1,90,2,39,7,92,6,10
"Kent","2014","jun","2014-06-01","South",0,1,248,107,23,7,55,7,15,3,352,55,19,1,94,23,135,6,86,9,120,55,215,24,28
"Lancashire","2014","jun","2014-06-01","North",0,0,264,102,26,14,72,11,14,1,350,24,17,2,119,23,144,9,173,19,146,17,281,57,11
"Leicestershire","2014","jun","2014-06-01","East",0,0,162,33,6,2,27,5,6,5,138,26,6,0,50,3,31,5,86,15,15,2,142,17,8
"Lincolnshire","2014","jun","2014-06-01","East",0,0,80,19,5,2,27,0,3,0,105,17,8,0,13,3,30,0,43,13,6,1,119,23,2
"Merseyside","2014","jun","2014-06-01","North",1,1,265,80,23,5,37,2,20,1,296,22,17,7,54,9,285,13,183,24,181,22,250,35,16
"Metropolitan and City","2014","jun","2014-06-01","South",13,6,1252,594,125,58,226,66,174,56,1356,172,204,29,303,62,1102,68,697,134,496,112,1404,395,189
"Norfolk","2014","jun","2014-06-01","East",0,0,210,46,15,5,19,3,3,0,164,15,9,3,65,7,71,5,112,10,17,7,101,9,13
"Northamptonshire","2014","jun","2014-06-01","East",0,0,95,27,10,1,11,3,6,0,82,16,8,0,18,10,21,5,33,14,19,2,96,12,13
"Northumbria","2014","jun","2014-06-01","North",1,0,257,117,22,7,59,9,6,7,446,73,20,7,91,17,122,13,103,53,202,41,233,44,6
"North Wales","2014","jun","2014-06-01","North",0,0,131,32,6,8,17,6,2,1,191,7,6,1,64,4,44,1,63,13,119,13,273,23,5
"North Yorkshire","2014","jun","2014-06-01","North",1,0,129,19,2,1,28,6,3,0,167,14,17,3,44,2,43,1,93,10,26,5,123,8,13
"Nottinghamshire","2014","jun","2014-06-01","East",13,0,163,54,13,7,30,4,9,3,221,16,4,0,46,11,102,10,72,10,54,11,127,17,9
"South Wales","2014","jun","2014-06-01","West",1,0,242,93,18,12,37,5,15,2,296,14,6,4,79,3,122,11,133,22,54,7,556,43,12
"South Yorkshire","2014","jun","2014-06-01","North",0,1,195,82,11,5,53,6,6,0,332,19,16,3,55,11,94,2,96,18,52,9,145,34,10
"Staffordshire","2014","jun","2014-06-01","West",0,0,156,61,10,6,29,12,5,0,167,26,10,4,51,18,69,5,76,26,35,6,116,16,8
"Suffolk","2014","jun","2014-06-01","East",0,0,158,25,6,1,10,4,2,1,133,5,5,0,49,0,52,1,74,4,23,0,94,12,7
"Surrey","2014","jun","2014-06-01","South",0,0,97,55,8,6,13,4,6,0,107,16,12,3,32,11,84,11,40,19,71,8,158,27,5
"Sussex","2014","jun","2014-06-01","South",0,0,186,64,29,11,38,6,6,2,236,27,27,2,50,11,98,6,63,21,53,13,197,17,13
"Thames Valley","2014","jun","2014-06-01","South",7,4,302,114,38,13,53,10,12,1,336,33,15,3,59,14,180,16,123,26,27,11,335,53,30
"Warwickshire","2014","jun","2014-06-01","West",2,0,49,9,2,4,8,2,4,2,69,4,2,3,18,6,14,1,11,1,25,1,69,30,8
"West Mercia","2014","jun","2014-06-01","West",1,0,143,41,15,2,29,2,8,0,140,15,16,1,39,3,56,1,64,6,38,5,180,18,6
"West Midlands","2014","jun","2014-06-01","West",2,0,385,208,48,13,55,29,49,14,497,32,37,2,96,19,221,20,144,29,159,21,324,56,36
"West Yorkshire","2014","jun","2014-06-01","North",3,0,356,112,46,7,85,9,19,9,402,35,19,3,86,15,126,10,112,19,49,14,268,39,27
"Wiltshire","2014","jun","2014-06-01","West",0,0,62,27,5,1,3,1,3,2,73,8,2,0,27,5,34,1,13,5,25,7,70,18,7
"National","2014","jul","2014-07-01","All",80,26,9662,3280,900,374,1679,302,650,184,10922,1011,785,143,2645,491,4890,301,4586,742,2799,551,9117,1463,795
"Avon and Somerset","2014","jul","2014-07-01","West",1,0,289,56,54,21,55,1,10,5,358,29,25,3,70,9,124,2,112,21,93,12,219,56,44
"Bedfordshire","2014","jul","2014-07-01","East",3,1,87,32,5,6,25,2,11,3,67,6,4,0,17,3,28,1,29,5,13,2,54,5,14
"Cambridgeshire","2014","jul","2014-07-01","East",0,0,115,29,4,3,10,4,1,1,110,10,5,1,22,3,28,0,56,4,14,2,75,6,8
"Cheshire","2014","jul","2014-07-01","North",1,0,195,54,17,4,20,1,6,0,214,7,11,1,41,9,67,3,81,6,48,3,143,16,13
"Cleveland","2014","jul","2014-07-01","North",0,0,130,50,7,7,44,5,12,3,278,34,10,0,41,7,58,6,112,38,19,5,105,15,3
"Cumbria","2014","jul","2014-07-01","North",0,0,108,15,10,1,7,4,2,0,96,1,5,0,36,2,41,0,59,2,44,6,87,11,2
"Derbyshire","2014","jul","2014-07-01","East",2,0,184,59,14,2,45,3,9,1,178,21,19,4,47,11,52,5,53,10,33,7,158,22,6
"Devon and Cornwall","2014","jul","2014-07-01","West",2,0,157,53,9,1,29,7,5,0,179,7,13,4,68,12,69,3,66,10,70,19,155,15,11
"Dorset","2014","jul","2014-07-01","West",0,0,114,38,7,3,25,5,6,1,111,6,9,0,32,6,38,2,40,7,23,6,103,9,22
"Durham","2014","jul","2014-07-01","North",0,0,120,25,13,3,21,5,5,1,167,17,9,3,36,14,34,2,67,11,16,3,76,7,3
"Dyfed Powys","2014","jul","2014-07-01","West",0,0,72,22,9,1,16,4,0,0,57,4,3,0,28,6,84,2,54,10,33,3,209,22,1
"Essex","2014","jul","2014-07-01","East",0,0,293,62,24,14,46,7,9,4,259,13,26,2,78,13,86,4,84,11,61,12,201,19,13
"Gloucestershire","2014","jul","2014-07-01","West",1,0,81,20,5,0,15,2,1,0,101,10,8,0,18,4,44,3,17,2,24,3,73,9,21
"GreaterManchester","2014","jul","2014-07-01","North",3,0,668,180,64,22,96,18,26,4,513,35,34,0,211,20,218,14,307,35,125,23,386,45,52
"Gwent","2014","jul","2014-07-01","West",1,0,97,20,10,4,26,3,5,2,117,7,6,1,56,9,51,4,69,15,19,3,81,17,3
"Hampshire","2014","jul","2014-07-01","South",4,2,350,127,28,8,35,11,21,8,336,39,18,9,104,21,138,5,100,24,73,16,277,40,26
"Hertfordshire","2014","jul","2014-07-01","East",1,1,147,35,8,6,33,9,5,2,152,17,32,16,32,9,75,4,58,14,19,4,140,25,11
"Humberside","2014","jul","2014-07-01","North",1,0,236,33,29,10,35,2,10,1,290,30,22,4,54,8,80,4,138,7,25,3,119,18,12
"Kent","2014","jul","2014-07-01","South",4,2,240,78,28,8,51,8,12,2,331,42,23,4,98,14,135,5,79,18,123,36,190,26,32
"Lancashire","2014","jul","2014-07-01","North",3,0,341,115,33,20,50,14,24,0,414,15,16,1,114,27,130,6,224,19,138,19,249,55,16
"Leicestershire","2014","jul","2014-07-01","East",0,0,163,33,11,1,24,8,6,0,160,15,17,4,36,4,39,0,60,10,13,3,122,18,8
"Lincolnshire","2014","jul","2014-07-01","East",3,0,125,50,11,3,19,2,5,3,155,15,10,1,28,7,49,2,71,10,16,8,154,31,11
"Merseyside","2014","jul","2014-07-01","North",9,0,223,70,27,4,33,6,17,3,328,22,15,2,59,15,314,18,123,22,162,16,215,35,19
"Metropolitan and City","2014","jul","2014-07-01","South",10,9,1322,601,141,81,262,52,209,61,1411,155,206,44,312,49,1115,75,724,125,551,118,1464,404,174
"Norfolk","2014","jul","2014-07-01","East",2,2,196,62,10,3,14,5,8,1,138,19,7,1,38,8,80,0,113,12,15,5,103,14,7
"Northamptonshire","2014","jul","2014-07-01","East",0,0,117,52,8,3,15,8,8,2,106,19,9,5,20,10,37,3,39,10,15,2,131,10,7
"Northumbria","2014","jul","2014-07-01","North",1,0,293,128,34,7,70,10,17,5,473,59,29,6,106,35,125,19,159,54,147,24,235,40,17
"North Wales","2014","jul","2014-07-01","North",1,0,96,39,12,10,18,5,5,4,165,6,7,1,41,2,30,1,57,4,99,13,100,12,11
"North Yorkshire","2014","jul","2014-07-01","North",2,0,125,26,7,0,23,1,3,2,142,22,8,0,29,6,48,5,106,10,34,4,108,16,7
"Nottinghamshire","2014","jul","2014-07-01","East",7,1,253,93,23,9,35,7,26,4,256,29,11,2,48,19,140,14,91,13,45,12,161,21,31
"South Wales","2014","jul","2014-07-01","West",1,0,310,126,16,14,46,3,7,8,334,17,8,1,95,15,177,7,218,22,56,13,1231,61,9
"South Yorkshire","2014","jul","2014-07-01","North",4,0,266,92,14,3,49,16,18,5,432,35,21,1,63,13,170,4,80,15,47,6,164,11,16
"Staffordshire","2014","jul","2014-07-01","West",1,0,188,78,12,3,29,6,4,4,185,17,9,1,35,14,66,3,103,18,40,8,118,32,7
"Suffolk","2014","jul","2014-07-01","East",1,0,158,25,8,1,16,1,5,1,116,7,12,0,35,2,54,2,63,5,8,4,93,11,6
"Surrey","2014","jul","2014-07-01","South",0,0,115,64,12,4,23,0,7,1,129,19,17,1,29,9,72,8,50,8,50,22,120,33,23
"Sussex","2014","jul","2014-07-01","South",0,0,250,83,23,15,37,6,10,2,281,18,13,0,44,16,95,5,83,20,109,26,232,37,17
"Thames Valley","2014","jul","2014-07-01","South",3,0,252,136,23,13,44,10,11,8,332,26,15,3,80,7,145,10,149,25,33,7,297,45,53
"Warwickshire","2014","jul","2014-07-01","West",0,0,63,16,9,4,16,3,0,0,92,4,7,0,16,0,28,1,20,9,15,5,76,17,3
"West Mercia","2014","jul","2014-07-01","West",0,0,158,50,27,5,30,5,16,4,185,16,9,1,52,4,60,5,86,13,33,1,189,31,3
"West Midlands","2014","jul","2014-07-01","West",2,4,478,203,42,22,101,26,58,26,636,80,26,7,128,24,233,24,165,42,211,45,326,87,14
"West Yorkshire","2014","jul","2014-07-01","North",6,4,394,122,45,23,84,7,20,1,460,51,27,9,111,19,182,18,195,22,57,15,287,48,32
"Wiltshire","2014","jul","2014-07-01","West",0,0,93,28,7,2,7,0,10,1,78,10,4,0,37,6,51,2,26,4,30,7,91,11,7
"National","2014","aug","2014-08-01","All",45,14,8342,2833,739,290,1524,247,484,140,9119,966,672,132,2310,426,4097,289,3950,667,2465,454,7141,1294,736
"Avon and Somerset","2014","aug","2014-08-01","West",2,1,165,52,33,7,37,3,9,1,234,19,13,1,59,7,95,6,101,14,87,9,158,38,17
"Bedfordshire","2014","aug","2014-08-01","East",3,3,80,36,4,2,7,5,13,1,90,9,5,1,19,2,34,0,39,8,4,2,50,14,18
"Cambridgeshire","2014","aug","2014-08-01","East",2,0,87,19,7,4,13,3,4,0,91,12,6,0,29,3,24,0,48,5,11,1,74,5,9
"Cheshire","2014","aug","2014-08-01","North",0,0,134,38,16,3,14,5,4,2,136,8,8,1,33,6,46,4,49,7,38,0,112,11,15
"Cleveland","2014","aug","2014-08-01","North",0,0,92,39,10,3,38,8,7,2,260,28,9,0,48,3,59,4,93,21,21,1,63,13,3
"Cumbria","2014","aug","2014-08-01","North",0,0,89,16,10,2,18,2,0,0,91,4,5,0,43,4,46,1,42,2,64,10,92,9,1
"Derbyshire","2014","aug","2014-08-01","East",2,0,128,43,15,8,23,1,3,3,150,7,2,2,37,8,52,4,40,10,46,7,105,5,15
"Devon and Cornwall","2014","aug","2014-08-01","West",0,0,153,46,6,1,18,2,1,0,140,22,13,0,38,11,62,4,56,14,82,19,177,13,11
"Dorset","2014","aug","2014-08-01","West",0,0,85,26,3,2,14,2,3,1,71,9,2,0,25,2,33,0,39,5,25,8,80,14,16
"Durham","2014","aug","2014-08-01","North",0,0,107,25,5,3,24,7,2,1,145,16,7,1,41,10,22,0,45,8,17,2,90,4,1
"Dyfed Powys","2014","aug","2014-08-01","West",0,0,66,19,1,1,12,0,2,1,73,2,2,0,29,7,70,1,52,7,22,2,151,18,7
"Essex","2014","aug","2014-08-01","East",1,0,239,55,28,10,40,1,11,0,195,14,29,5,65,13,80,5,60,5,46,8,186,18,14
"Gloucestershire","2014","aug","2014-08-01","West",1,0,49,9,3,0,5,0,2,0,66,8,5,1,16,5,35,2,14,4,17,2,44,6,14
"GreaterManchester","2014","aug","2014-08-01","North",7,0,609,153,26,24,110,2,33,5,516,38,32,5,173,26,178,13,271,28,111,21,341,72,51
"Gwent","2014","aug","2014-08-01","West",2,0,95,18,8,3,22,0,4,0,114,7,3,0,41,1,30,0,64,6,20,4,82,14,1
"Hampshire","2014","aug","2014-08-01","South",0,0,291,111,26,11,23,4,3,1,299,21,20,7,77,20,128,5,115,12,64,13,223,36,15
"Hertfordshire","2014","aug","2014-08-01","East",0,0,179,39,11,3,39,4,1,1,144,20,18,6,39,9,72,4,70,17,26,5,143,18,13
"Humberside","2014","aug","2014-08-01","North",3,0,178,50,18,13,38,4,8,2,203,25,12,1,42,12,71,5,126,15,32,6,118,16,17
"Kent","2014","aug","2014-08-01","South",2,0,188,54,18,8,29,6,4,1,276,37,12,6,66,12,97,7,49,19,133,31,152,23,53
"Lancashire","2014","aug","2014-08-01","North",0,0,281,113,27,13,65,9,21,3,280,28,9,2,89,21,109,5,121,18,179,10,237,42,3
"Leicestershire","2014","aug","2014-08-01","East",0,0,123,36,14,4,21,0,10,1,135,14,9,1,34,2,33,4,51,9,24,1,125,15,9
"Lincolnshire","2014","aug","2014-08-01","East",0,0,82,17,7,2,8,6,5,0,99,11,4,0,15,5,29,2,48,6,16,8,112,26,7
"Merseyside","2014","aug","2014-08-01","North",1,0,202,69,27,4,35,3,16,4,213,24,11,2,57,15,180,10,111,13,108,8,153,28,32
"Metropolitan and City","2014","aug","2014-08-01","South",8,5,1230,516,122,57,237,45,155,57,1227,176,208,29,319,43,1024,79,608,131,448,117,1207,339,184
"Norfolk","2014","aug","2014-08-01","East",0,0,185,46,8,2,13,4,7,3,161,8,6,1,47,5,72,0,118,11,24,9,93,18,7
"Northamptonshire","2014","aug","2014-08-01","East",3,0,84,35,14,0,21,8,4,3,110,12,7,5,24,12,36,3,52,8,13,4,118,11,10
"Northumbria","2014","aug","2014-08-01","North",0,0,265,91,22,6,58,11,5,0,440,60,27,1,96,23,106,14,222,57,68,18,220,52,10
"North Wales","2014","aug","2014-08-01","North",0,0,83,28,9,6,21,0,2,0,119,5,4,3,30,2,38,1,53,5,72,4,55,13,5
"North Yorkshire","2014","aug","2014-08-01","North",0,1,103,31,4,2,29,2,7,1,148,20,8,3,30,7,58,7,81,7,16,7,99,8,10
"Nottinghamshire","2014","aug","2014-08-01","East",2,0,188,63,9,2,47,5,16,3,225,22,9,2,43,8,98,5,75,13,39,4,151,13,16
"South Wales","2014","aug","2014-08-01","West",0,0,285,110,20,10,36,9,5,8,277,18,20,1,75,13,153,13,149,25,64,5,363,56,18
"South Yorkshire","2014","aug","2014-08-01","North",1,0,223,57,15,2,37,8,2,3,285,15,6,4,74,11,107,9,102,11,35,5,121,11,13
"Staffordshire","2014","aug","2014-08-01","West",0,0,156,65,25,3,20,4,8,0,167,8,9,6,46,10,69,5,80,16,45,4,135,28,3
"Suffolk","2014","aug","2014-08-01","East",0,0,149,29,5,1,19,4,4,3,109,5,9,0,36,1,46,5,88,3,10,2,79,7,8
"Surrey","2014","aug","2014-08-01","South",0,1,98,54,11,9,17,3,0,1,126,16,11,4,42,6,76,8,30,20,55,21,120,21,15
"Sussex","2014","aug","2014-08-01","South",1,0,214,62,14,11,27,6,8,3,139,18,20,1,36,9,84,9,89,24,70,21,154,20,11
"Thames Valley","2014","aug","2014-08-01","South",1,0,305,146,30,9,75,13,25,4,297,43,20,5,42,9,145,8,143,15,37,5,285,58,30
"Warwickshire","2014","aug","2014-08-01","West",0,0,54,12,9,2,5,1,1,0,62,6,3,0,7,2,19,2,15,3,11,4,81,14,1
"West Mercia","2014","aug","2014-08-01","West",0,0,150,39,13,4,24,5,5,2,186,15,7,4,46,9,32,0,66,11,25,5,150,34,3
"West Midlands","2014","aug","2014-08-01","West",1,1,426,205,31,19,80,15,36,17,492,55,29,11,93,21,173,18,132,23,149,25,270,53,14
"West Yorkshire","2014","aug","2014-08-01","North",2,2,369,151,48,11,92,23,27,2,440,74,29,10,92,25,149,17,116,30,59,12,294,70,31
"Wiltshire","2014","aug","2014-08-01","West",0,0,73,10,7,3,13,4,1,0,88,7,4,0,17,6,27,0,27,1,32,4,78,10,5
"National","2014","sep","2014-09-01","All",47,8,9369,3251,853,336,1491,317,602,188,10041,998,781,113,2483,419,4558,310,4390,801,2619,558,8858,1363,793
"Avon and Somerset","2014","sep","2014-09-01","West",2,0,215,71,39,16,53,6,12,1,283,18,18,1,77,10,113,5,134,12,75,13,195,47,26
"Bedfordshire","2014","sep","2014-09-01","East",4,0,69,22,10,5,9,1,6,0,87,8,8,0,16,4,49,3,25,4,6,3,97,8,11
"Cambridgeshire","2014","sep","2014-09-01","East",0,0,110,18,4,1,25,2,3,1,109,8,8,1,29,2,58,2,43,7,14,7,79,5,11
"Cheshire","2014","sep","2014-09-01","North",0,0,252,54,13,2,36,3,3,1,208,16,10,2,56,5,95,5,108,11,58,10,210,18,6
"Cleveland","2014","sep","2014-09-01","North",0,0,111,38,12,3,34,4,6,1,241,22,12,0,35,7,75,8,122,27,26,5,97,18,4
"Cumbria","2014","sep","2014-09-01","North",0,0,84,21,10,0,10,3,3,0,94,4,6,2,33,0,35,1,59,6,52,10,98,9,3
"Derbyshire","2014","sep","2014-09-01","East",0,0,155,52,15,1,17,5,22,3,194,17,5,2,41,11,84,5,56,6,49,14,222,16,7
"Devon and Cornwall","2014","sep","2014-09-01","West",0,0,171,66,7,1,17,2,5,1,166,11,13,1,54,5,68,8,69,19,95,15,188,11,13
"Dorset","2014","sep","2014-09-01","West",0,0,100,29,7,3,18,1,5,0,80,13,10,2,38,1,37,1,54,10,40,9,95,10,5
"Durham","2014","sep","2014-09-01","North",0,0,96,38,13,2,19,4,3,2,165,20,12,1,40,7,30,1,63,12,20,5,80,7,2
"Dyfed Powys","2014","sep","2014-09-01","West",0,0,83,22,9,2,9,0,1,0,49,12,4,0,21,3,53,2,49,14,6,1,201,19,3
"Essex","2014","sep","2014-09-01","East",1,0,334,59,39,15,38,10,10,2,274,18,20,3,73,7,119,7,72,10,61,12,209,19,25
"Gloucestershire","2014","sep","2014-09-01","West",1,0,56,37,3,0,7,1,1,0,86,7,5,1,17,4,25,1,7,2,27,9,53,4,7
"GreaterManchester","2014","sep","2014-09-01","North",1,0,645,206,51,28,77,14,43,13,459,43,37,3,169,24,228,13,310,31,125,38,367,54,47
"Gwent","2014","sep","2014-09-01","West",0,0,71,17,1,0,10,5,4,0,81,3,3,0,20,6,35,5,60,9,17,6,36,9,9
"Hampshire","2014","sep","2014-09-01","South",0,0,298,105,26,16,37,7,7,0,294,30,16,5,79,14,131,10,106,18,81,25,231,31,31
"Hertfordshire","2014","sep","2014-09-01","East",0,0,185,36,14,2,15,5,7,8,192,15,20,4,26,5,63,7,71,22,14,3,157,19,23
"Humberside","2014","sep","2014-09-01","North",1,0,214,43,21,9,40,13,5,5,216,30,25,5,44,15,80,2,100,15,34,6,139,18,12
"Kent","2014","sep","2014-09-01","South",2,0,244,89,26,14,50,7,11,1,352,54,26,3,74,18,115,7,65,23,130,29,221,30,30
"Lancashire","2014","sep","2014-09-01","North",1,0,307,125,28,12,74,12,23,1,307,20,20,2,98,19,138,5,189,21,128,14,253,49,24
"Leicestershire","2014","sep","2014-09-01","East",1,0,121,40,10,2,26,9,15,4,127,9,7,1,27,5,29,4,61,8,20,2,134,18,7
"Lincolnshire","2014","sep","2014-09-01","East",2,0,99,18,12,1,21,3,8,0,158,17,5,0,26,1,44,2,60,13,43,7,178,20,7
"Merseyside","2014","sep","2014-09-01","North",0,0,370,112,32,12,47,7,16,5,424,31,26,1,70,15,313,14,170,34,138,21,260,26,30
"Metropolitan and City","2014","sep","2014-09-01","South",12,4,1266,548,129,70,214,66,161,52,1206,150,190,23,311,58,1013,75,648,136,498,92,1360,431,211
"Norfolk","2014","sep","2014-09-01","East",0,0,188,46,16,3,17,3,5,0,162,20,9,0,56,5,63,7,121,13,17,6,110,11,10
"Northamptonshire","2014","sep","2014-09-01","East",1,0,105,30,15,5,22,5,10,0,98,18,13,5,31,6,37,3,46,6,8,8,121,11,7
"Northumbria","2014","sep","2014-09-01","North",0,0,263,154,25,9,48,8,17,4,422,51,19,1,82,22,80,15,172,60,66,23,202,41,15
"North Wales","2014","sep","2014-09-01","North",1,0,146,35,7,6,20,5,2,0,181,14,3,1,60,4,41,1,61,5,64,10,109,18,2
"North Yorkshire","2014","sep","2014-09-01","North",1,0,126,50,7,1,18,8,1,1,178,18,15,3,47,3,48,3,94,15,27,8,144,16,12
"Nottinghamshire","2014","sep","2014-09-01","East",1,1,215,95,8,4,28,3,16,5,248,25,7,1,69,18,122,6,87,16,79,16,174,26,21
"South Wales","2014","sep","2014-09-01","West",0,0,229,101,17,8,46,7,10,2,227,16,10,0,70,9,136,4,124,18,29,6,958,34,20
"South Yorkshire","2014","sep","2014-09-01","North",1,0,264,98,16,3,50,7,6,4,373,31,12,6,81,17,131,6,133,15,46,5,155,26,17
